Kommun,n_observations,balanced_accuracy,macro_f1,weighted_f1,accuracy,f1_NN,precision_NN,recall_NN,f1_NV,precision_NV,recall_NV,f1_VN,precision_VN,recall_VN,f1_VV,precision_VV,recall_VV,n_NN,n_NV,n_VN,n_VV
0560,1225,0.3954631829650845,0.2902087462888191,0.5541246553011292,0.45877551020408164,0.298932384341637,0.2222222222222222,0.45652173913043476,0.1347708894878706,0.07911392405063292,0.45454545454545453,0.09665427509293681,0.06435643564356436,0.19402985074626866,0.6304774362328319,0.9305019305019305,0.47675568743818003,92,55,67,1011
0561,2488,0.4198560246776581,0.33403887595601933,0.6586905877711928,0.5811897106109325,0.24258760107816713,0.2102803738317757,0.28662420382165604,0.13660245183887915,0.08108108108108109,0.43333333333333335,0.2049469964664311,0.14910025706940874,0.327683615819209,0.7520184544405998,0.9287749287749287,0.6317829457364341,157,90,177,2064
0562,4679,0.40044069824530837,0.32225177266462735,0.6170074921597868,0.5375080145330199,0.2901439645625692,0.24952380952380954,0.34656084656084657,0.1307471264367816,0.07570715474209651,0.4789473684210526,0.15058823529411763,0.12749003984063745,0.1839080459770115,0.7175277643650411,0.909795918367347,0.5923465320223226,378,190,348,3763
0563,1763,0.3724284262088219,0.31212943391423476,0.6338106023279976,0.5496313102665911,0.20657276995305165,0.25,0.176,0.10108303249097472,0.05737704918032787,0.42424242424242425,0.20555555555555555,0.16371681415929204,0.27611940298507465,0.7353063776573572,0.9177939646201873,0.6133518776077886,125,66,134,1438
0580,35216,0.43225146959937527,0.36612759072271084,0.6763150886475471,0.6093253066787824,0.35827591732094216,0.3052976515565265,0.4335013571151609,0.13352495427227593,0.08240606353813901,0.35168616655196144,0.19630390143737167,0.15261813537675606,0.27502876869965476,0.7764055898602535,0.9252965383684338,0.668789586030724,2579,1453,2607,28577
0581,30452,0.41632512354611484,0.3439750932440264,0.603019840980496,0.5281426507290161,0.38026928400654336,0.3019584332533973,0.5134216785592932,0.12740775121838013,0.0761865112406328,0.3888101983002833,0.15853069115514742,0.13804713804713806,0.18615209988649262,0.7096926465960348,0.9218558386701186,0.57691651743839,2943,1412,2643,23454
0582,3135,0.3849095971184846,0.3024633392710665,0.6129927675022245,0.5180223285486444,0.2567049808429119,0.20303030303030303,0.3489583333333333,0.09195402298850575,0.05194805194805195,0.4,0.16523235800344235,0.128,0.23300970873786409,0.6959619952494062,0.9254579911560329,0.5576703464027408,192,110,206,2627
0583,9565,0.4275714709144375,0.3554149600864165,0.6445131742723414,0.578463146889702,0.33739837398373984,0.25633106856084004,0.4934601664684899,0.1318422601530312,0.085041761579347,0.2931937172774869,0.20335905583295505,0.1558803061934586,0.2924281984334204,0.7490601503759399,0.9210323574730355,0.6312038014783526,841,382,766,7576
0584,1720,0.4174518279884198,0.3230665156893615,0.63918554969911,0.5523255813953488,0.30526315789473685,0.2248062015503876,0.47540983606557374,0.10154525386313466,0.0583756345177665,0.3898305084745763,0.1640625,0.1320754716981132,0.21649484536082475,0.7213951509995746,0.9328932893289329,0.5880721220527045,122,59,97,1442
0586,5900,0.3868016667856514,0.3084275840917968,0.6250725047661738,0.5549152542372882,0.26635784597568035,0.1777434312210201,0.5311778290993071,0.11870773854244929,0.07390084190832553,0.3015267175572519,0.11812080536912752,0.13793103448275862,0.10328638497652583,0.73052394647993,0.9077066500932256,0.6112157355095208,433,262,426,4779
