experiment_id,zone,training_size_k,method,seed,balanced_accuracy,macro_f1,weighted_f1,f1_NN,f1_NV,f1_VN,f1_VV,precision_NN,precision_NV,precision_VN,precision_VV,recall_NN,recall_NV,recall_VN,recall_VV,test_n_NN,test_n_NV,test_n_VN,test_n_VV,train_n_NN,train_n_NV,train_n_VN,train_n_VV,sample_time,train_time,eval_time,total_time
23,comparison,800.0,balanced,123.0,0.43149301629999004,0.3595227905262801,0.6344170527006145,0.3898122559132251,0.13096390566824617,0.17981457549025118,0.737500425033398,0.3130626875625208,0.07986815999410771,0.14702401517211977,0.9218624436181484,0.5164151397435457,0.3635373123382678,0.23143010870885813,0.6145895044092885,203623,95451,172847,1711614,200000,200000,200000,200000,1.0180854797363281,1900.5019376277924,21.93686842918396,1923.48988032341
24,comparison,800.0,balanced,456.0,0.43159629796673127,0.35948039908352936,0.635002799445812,0.38866517524235644,0.13157659788272347,0.17927540820480348,0.7384044150042341,0.3108942447611361,0.08035871734187201,0.1471635484697382,0.9217155996992323,0.518325532970244,0.36283538150464634,0.2293126290881531,0.6159116483038816,203623,95451,172847,1711614,200000,200000,200000,200000,0.8880767822265625,1911.007122516632,21.914847135543823,1933.85005235672
25,scaling,1000.0,stratified,42.0,0.42648491733441773,0.3584088678335371,0.6382777171247381,0.3828558511918217,0.12859931032390506,0.17868084219673425,0.7434994676216874,0.30442761103815347,0.07968239327892848,0.144836285618794,0.9196430339701536,0.5157177725502522,0.3330714188431761,0.2331657477422229,0.6239847302020198,203623,95451,172847,1711614,93254,43714,79159,783873,3.280277729034424,1385.2145822048187,22.154864072799683,1410.6827306747437
26,scaling,1000.0,stratified,123.0,0.4264896520750371,0.3586436639333329,0.6391172233395376,0.3827529361395368,0.12909036204994484,0.17811935712809823,0.7446120004157517,0.3050115476134932,0.07982902463166616,0.14557001523466898,0.9192483411337882,0.5136796923726691,0.33712585515081034,0.229416767430155,0.6257362933465139,203623,95451,172847,1711614,93254,43714,79159,783873,4.001331567764282,1352.573013305664,22.062857627868652,1378.6751987934113
27,scaling,1000.0,stratified,456.0,0.4267045836542358,0.35789192151137084,0.6378093817487515,0.38230763775102883,0.12954229240502796,0.17659219890099992,0.7431255569884265,0.30356317722893517,0.07999054706405102,0.14457231565711504,0.9198830888343802,0.5162137872440736,0.3404259777267918,0.2268306652704415,0.6233479043756361,203623,95451,172847,1711614,93254,43714,79159,783873,3.3002865314483643,1255.4748713970184,21.988848209381104,1280.7980122566223
28,scaling,2000.0,stratified,42.0,0.43008809913645485,0.3606073510954845,0.6386576307133937,0.3884211616568888,0.1301756201372551,0.18081388287895211,0.7430187397088419,0.31153854141633514,0.07999587266697701,0.14790258548054175,0.9206475865767499,0.5156833952942448,0.3492577343348943,0.23256405954398976,0.6228472073726904,203623,95451,172847,1711614,186507,87429,158318,1567746,3.9643495082855225,2442.779726743698,21.786829233169556,2468.5748965740204
29,scaling,2000.0,stratified,123.0,0.4303783840975514,0.36078365974977056,0.6392340890593848,0.3883977808997557,0.13045583101893138,0.18050894001342527,0.7437720870669698,0.3106810415930246,0.08023917446233966,0.14811833740105784,0.920760063223629,0.5179670273004523,0.3486605692973358,0.23103091173118423,0.6238550280612334,203623,95451,172847,1711614,186507,87429,158318,1567746,4.225358009338379,2460.522037267685,22.134870529174805,2486.9262747764587
30,scaling,2000.0,stratified,456.0,0.430702421478956,0.36026529218253556,0.6383075842558255,0.388433734939759,0.13123362651981985,0.17866513406132087,0.7427286732092426,0.30981695517711094,0.08062954227310207,0.14708522527509518,0.9208015704321714,0.5205158552815743,0.35241118479638767,0.2275133499568983,0.6223692958809638,203623,95451,172847,1711614,186507,87429,158318,1567746,3.501265525817871,2429.057487487793,21.953840017318726,2454.5546023845673
31,scaling,3000.0,stratified,42.0,0.4317715623834142,0.3612348043183752,0.6384934921513558,0.39059740057966297,0.1312801507197487,0.18054573507519162,0.7425159308988976,0.3132899749581647,0.08050339829432906,0.14810134088399018,0.9213637803837104,0.518556351689151,0.35552272893945586,0.2311929047076316,0.6218142641974184,203623,95451,172847,1711614,279761,131143,237477,2351619,3.5963034629821777,2539.7078030109406,21.535802602767944,2564.888913631439
32,scaling,3000.0,stratified,123.0,0.4324170826575078,0.36170491378360947,0.6389541121927561,0.39147783769224953,0.13131219446215678,0.18108728856191372,0.7429423344181179,0.3135034835690184,0.08050388671315085,0.1492760802503884,0.9212256515964805,0.5210806244874105,0.3559836984421326,0.23012837943383455,0.6224756282666536,203623,95451,172847,1711614,279761,131143,237477,2351619,4.206360340118408,2508.59148812294,22.087817430496216,2534.938673734665
33,scaling,3000.0,stratified,456.0,0.43219782386698063,0.36113453833693826,0.6382345738297556,0.3908004512902816,0.1314831831675634,0.18005479551971407,0.742199723370194,0.3125242855628952,0.08055386387563084,0.14855477197931358,0.9213677435004461,0.5213900197914774,0.35752375564425726,0.22850844966936076,0.6213690703628272,203623,95451,172847,1711614,279761,131143,237477,2351619,4.308382987976074,2537.3895828723907,21.7838397026062,2563.535823583603
34,scaling,4000.0,stratified,42.0,0.4328492582836281,0.361787689475714,0.6383033022716933,0.39276065690335504,0.13145458736745044,0.180972376040966,0.7419631375910845,0.31524020141130593,0.08048524025602845,0.14869552272135175,0.9215510140378562,0.5208399836953586,0.3584561712292171,0.23114662100007521,0.6209542572098615,203623,95451,172847,1711614,373014,174857,316637,3135492,4.443377494812012,2623.1598677635193,21.49680519104004,2649.166068792343
35,scaling,4000.0,stratified,123.0,0.43284353945605314,0.3618386897765912,0.6384169399538576,0.39298005529408503,0.13125063745196258,0.18103723639230399,0.7420868299680133,0.3151707690391016,0.08039208290507219,0.1487735315143572,0.9215466509945468,0.5218025468635665,0.3572723177337063,0.2311697628538534,0.6211295303730865,203623,95451,172847,1711614,373014,174857,316637,3135492,3.768312454223633,2578.8331048488617,21.682831048965454,2604.3352468013763
36,scaling,4000.0,stratified,456.0,0.433098661407206,0.36180544398649833,0.6382589927495073,0.39217131680718337,0.13204218600191756,0.18107464705308332,0.7419336260838091,0.3148155306893773,0.08081230093252184,0.1489731142643764,0.9214728319910664,0.5199265308928755,0.36070863584456947,0.23081106412029134,0.6209484147710874,203623,95451,172847,1711614,373014,174857,316637,3135492,3.763317823410034,2588.2178478240967,22.083857536315918,2614.1240253448486
