Kommun,balanced_accuracy,n_test,entropy,majority_prop,hhi,n_obs,p_NN,p_NV,p_VN,p_VV
0480,0.4226173837435247,11898,0.6943355986729434,0.8073528302361255,0.6650609497559689,39767,0.07782835013956295,0.04018407222068549,0.07463474740362612,0.8073528302361255
0481,0.3906457587674723,1990,0.8617498177791797,0.7330432172869148,0.5630257054802714,6664,0.10999399759903962,0.05342136854741897,0.10354141656662665,0.7330432172869148
0482,0.3818823456769107,3442,0.8098180678821112,0.7571016519535005,0.5946382087995169,11441,0.10881915916440871,0.04964600996416397,0.08443317891792676,0.7571016519535005
0483,0.4316613337157176,7142,0.7695298944886291,0.775764487244467,0.6198149129084278,23676,0.09106267950667342,0.04603818212535901,0.08713465112350059,0.775764487244467
0484,0.413807002391609,22340,0.8487926571961042,0.7383436120970027,0.5701994505129907,74101,0.11809557225948368,0.051821163007246866,0.09173965263626671,0.7383436120970027
0486,0.4191123372554053,7435,0.7256983140822845,0.7943637164244826,0.646205188238005,24981,0.09038869540851047,0.04383331331812177,0.07141427484888516,0.7943637164244826
0488,0.3997924378617354,2813,0.6345173195927041,0.830421052631579,0.6999120443213297,9500,0.06673684210526316,0.03452631578947368,0.0683157894736842,0.830421052631579
0509,0.3509440267335004,1174,0.6913796401340362,0.808,0.6662312757544225,3875,0.08696774193548387,0.04051612903225806,0.06451612903225806,0.808
0512,0.3778972569282088,836,0.5991894847642356,0.8437047756874095,0.7205572054175977,2764,0.06041968162083936,0.03256150506512301,0.06331403762662807,0.8437047756874095
0513,0.4380873778980321,2197,0.6569828558310855,0.8224546722454672,0.6875725798451241,7170,0.07224546722454672,0.03891213389121339,0.06638772663877267,0.8224546722454672
0560,0.3954631829650845,1225,0.6633004119467942,0.8212068537372734,0.6853517130365809,4027,0.07176558231934442,0.046684877079711945,0.060342686863670225,0.8212068537372734
0561,0.4198560246776581,2488,0.629595514942678,0.8327649065035869,0.7034000728814171,8503,0.06644713630483359,0.03610490415147595,0.0646830530401035,0.8327649065035869
0562,0.4004406982453083,4679,0.7149757282626622,0.79890682598195,0.6527116576720883,15734,0.0838311935934918,0.0419473751112241,0.07531460531333418,0.79890682598195
0563,0.3724284262088219,1763,0.6715170605406042,0.8165609463397908,0.6787373130684737,5833,0.07526144351105778,0.03908794788273615,0.06908966226641522,0.8165609463397908
0580,0.4322514695993752,35216,0.6901421357404035,0.8093041138023837,0.6678708043678594,117045,0.07468922209406638,0.04082190610448973,0.07518475799906019,0.8093041138023837
0581,0.4163251235461148,30452,0.7809579671580544,0.7706319885719916,0.6127734606147337,101505,0.09774887936554849,0.04732771784641151,0.08429141421604847,0.7706319885719916
0582,0.3849095971184846,3135,0.6163647878517517,0.8380100827546847,0.7114680271247018,10513,0.061637972034623796,0.036526205650147435,0.06382573956054409,0.8380100827546847
0583,0.4275714709144375,9565,0.7154036346402277,0.7982328810350269,0.6518739054709253,31690,0.08482171031871252,0.040233512148942885,0.07671189649731777,0.7982328810350269
0584,0.4174518279884198,1720,0.621659355978088,0.8355344250748371,0.7077557899603922,5679,0.06937841169219933,0.035217467864060575,0.05986969536890298,0.8355344250748371
0586,0.3868016667856514,5900,0.6866368409043877,0.8103439516333892,0.6695251189980301,19683,0.07966265305085607,0.03962810547172687,0.07036528984402785,0.8103439516333892
0604,0.4037721976379584,1423,0.6432634225730911,0.8277834525025536,0.6956812991096999,4895,0.0686414708886619,0.037997957099080694,0.06557711950970378,0.8277834525025536
0617,0.4332860515893381,2066,0.8176786724885883,0.750110180696342,0.5864949382272664,6807,0.1210518583810783,0.04348464815630968,0.08535331276627002,0.750110180696342
0642,0.3731443319304548,1553,0.6354103982058534,0.8309913378248316,0.7005629719106901,5195,0.07025986525505294,0.03926852743022137,0.05948026948989413,0.8309913378248316
0643,0.4549666993448796,2394,0.5361520671210314,0.8667324777887463,0.7573816118495101,8104,0.049358341559723594,0.03195952615992103,0.051949654491609085,0.8667324777887463
0662,0.4281144635143732,6233,0.8081750184877674,0.7564485340903528,0.5943454050503605,20431,0.11766433361068963,0.049483627820468896,0.07640350447848857,0.7564485340903528
0665,0.4132920772684774,2712,0.7285275715797138,0.7938444320089536,0.6452882958405372,8935,0.09143816452154449,0.048461108002238386,0.06625629546726357,0.7938444320089536
0680,0.4372782406272972,29410,0.7184836319208027,0.7974327021468446,0.650612535648422,98703,0.08862952493845172,0.04341306748528413,0.07052470542941958,0.7974327021468446
0682,0.4264428725707664,6450,0.7427667374836007,0.7877900324927921,0.636582527440513,21851,0.08741018717678825,0.04594755388769393,0.07885222644272573,0.7877900324927921
0683,0.4135010728683391,7523,0.7331990297365041,0.7919077499796268,0.6424485623978694,24542,0.0869937250427838,0.045880531334039604,0.07521799364354984,0.7919077499796268
0684,0.3880068575483326,2376,0.7094661107265096,0.8000254420557181,0.6547874878746888,7861,0.09502607810711106,0.042233812492049355,0.06271466734512149,0.8000254420557181
0685,0.4230994441436707,5904,0.7151012706542976,0.7986611477336604,0.6524364347252821,19569,0.0878430170167101,0.042260718483315446,0.07123511676631407,0.7986611477336604
0686,0.422260400654578,3729,0.6976603100184579,0.8065032836777191,0.6636969847042399,12486,0.08281275028031396,0.04380906615409259,0.06687489988787441,0.8065032836777191
0687,0.4149756070443653,4042,0.6897491283862042,0.808115338882283,0.6665097460379963,13456,0.08420035671819263,0.036935196195005945,0.07074910820451843,0.808115338882283
0760,0.4336391002330402,1943,0.7674574274830872,0.7754733994589721,0.6198807039054999,6654,0.10414788097385032,0.045536519386834985,0.07484220018034266,0.7754733994589721
0761,0.3718630438661959,1716,0.7424078928725031,0.7874070230064003,0.6361990967015193,5781,0.0892579138557343,0.04411001556824079,0.07922504756962463,0.7874070230064003
0763,0.418852632964001,2725,0.7341604590302234,0.7892561983471075,0.6394380450668143,8954,0.100625418807237,0.04232745141836051,0.06779093142729506,0.7892561983471075
0764,0.4363664001614109,4273,0.730718858120888,0.7916965438118457,0.6424914056140288,13946,0.08489889574071419,0.04065681915961566,0.08274774128782447,0.7916965438118457
0765,0.4139790222705855,3465,0.7267683711333237,0.7942046641141663,0.6459028717627262,11492,0.09084580577793247,0.04559693699965193,0.06935259310824922,0.7942046641141663
0767,0.4153372751439872,2174,0.8159159089103136,0.7518829046468666,0.5886391444123611,7037,0.12235327554355549,0.04817393775756715,0.0775898820520108,0.7518829046468666
0780,0.4338929928149757,19829,0.6818273624844762,0.8130752285826368,0.6733638452896765,66278,0.07737107335767525,0.042834726455234014,0.06671897160445396,0.8130752285826368
0781,0.4273070765833766,6151,0.749553836268653,0.7813107740178918,0.6286575747033945,20568,0.10749708284714118,0.04020809023726177,0.07098405289770518,0.7813107740178918
0821,0.4092596758021881,1233,0.7805293970297372,0.7693266832917706,0.6115438336826263,4010,0.10822942643391521,0.04588528678304239,0.07655860349127182,0.7693266832917706
0834,0.4091946143900788,1521,0.6698742817789358,0.8161793372319688,0.6784547572092458,5130,0.07953216374269007,0.03567251461988304,0.06861598440545809,0.8161793372319688
0840,0.4038306839053281,3258,0.5492988948679184,0.8615228800294632,0.749044231201853,10861,0.05653254764754627,0.029371144461835925,0.05257342786115459,0.8615228800294632
0860,0.4218887197252595,2983,0.7761319286868831,0.7701034032727638,0.6129266552968887,9961,0.1081216745306696,0.041361309105511494,0.08041361309105512,0.7701034032727638
0861,0.3946767059865976,2885,0.6716937737519848,0.8162970603403816,0.678395072400319,9695,0.07591542031975244,0.03837029396596184,0.06941722537390407,0.8162970603403816
0862,0.4311044265853053,2033,0.7332724167679567,0.790363609157564,0.6407508770950944,6683,0.09636390842436032,0.04294478527607362,0.0703276971420021,0.790363609157564
0880,0.419517604857724,15020,0.6661696403214159,0.8199308343602179,0.6834567480044537,50314,0.07006002305521326,0.04473903883610923,0.06527010374845968,0.8199308343602179
0881,0.4171055967194093,4330,0.7540062005796482,0.7833553500660502,0.6302463032836904,14383,0.09497323228811792,0.05138010150872558,0.0702913161371063,0.7833553500660502
0882,0.4250800554936014,5823,0.690372956534413,0.8094266476229341,0.6680055290632925,19604,0.07947357682105692,0.04238930830442767,0.06871046725158131,0.8094266476229341
0883,0.4022160893081299,8184,0.7594157128953274,0.7799120830408924,0.6256901138540734,27071,0.09327324443131026,0.04488197702338296,0.08193269550441432,0.7799120830408924
0884,0.4137998524663891,3403,0.7020539756892664,0.8042545741048761,0.6604992289952505,11423,0.0808018909218244,0.041057515538825175,0.0738860194344743,0.8042545741048761
0885,0.4044709025730367,2472,0.6619793285240683,0.8196064139941691,0.6835146282586337,8232,0.07689504373177843,0.036078717201166184,0.0674198250728863,0.8196064139941691
0980,0.3957573698266469,13316,0.6958743906501936,0.8070266023122685,0.6644979629088122,44545,0.07361095521382871,0.041463688404983726,0.07789875406891907,0.8070266023122685
1060,0.3638224394493188,2889,0.8266557793258424,0.747559847939998,0.5825257270594091,9733,0.11414774478578034,0.0458234871057228,0.09246892016849892,0.747559847939998
