Kommun,n_test,balanced_accuracy,macro_f1,weighted_f1,accuracy,f1_NN,precision_NN,recall_NN,f1_NV,precision_NV,recall_NV,f1_VN,precision_VN,recall_VN,f1_VV,precision_VV,recall_VV,n_NN,n_NV,n_VN,n_VV,kommun,n_obs,entropy,majority_prop,hhi,p_NN,p_NV,p_VN,p_VV,residual_entropy_model
1446,1510,0.3579019898473223,0.2847310077240925,0.6087591155404514,0.5172185430463576,0.1632653061224489,0.1935483870967742,0.1411764705882353,0.1134020618556701,0.0679012345679012,0.34375,0.1648106904231625,0.1048158640226629,0.3854166666666667,0.6974459724950884,0.920881971465629,0.5612648221343873,85,64,96,1265,1446,5123,0.6293294119101542,0.833691196564513,0.7046206174105678,0.05836423970329885,0.0407964083544798,0.06714815537770838,0.833691196564513,-0.052573727267290704
1447,1162,0.3999473587276944,0.3014455250276867,0.5014246035745673,0.4130808950086058,0.2959641255605381,0.3,0.2920353982300885,0.1184834123222748,0.067750677506775,0.4716981132075472,0.2132564841498559,0.1439688715953307,0.4111111111111111,0.5780780780780781,0.903755868544601,0.4249448123620309,113,53,90,906,1447,3866,0.7738564993266673,0.7741852043455768,0.6175855194542256,0.09906880496637352,0.04966373512674599,0.07708225556130367,0.7741852043455768,-0.0007108518138935205
1452,2532,0.410407322650217,0.3300897613398745,0.6314402834475212,0.5624012638230648,0.2790091264667536,0.1903914590747331,0.5219512195121951,0.1358490566037735,0.0849056603773584,0.3396226415094339,0.1675392670157068,0.1720430107526881,0.1632653061224489,0.7379615952732644,0.9183823529411764,0.6167901234567901,205,106,196,2025,1452,8585,0.7099596222715243,0.7997670355270822,0.654308618226926,0.08689574839836925,0.0378567268491555,0.07548048922539313,0.7997670355270822,0.005408693840344203
1460,2028,0.4436368607194378,0.3479883778256883,0.5729284782247908,0.5019723865877712,0.3789473684210526,0.2923433874709977,0.5384615384615384,0.1492537313432835,0.0890868596881959,0.4597701149425287,0.1962616822429906,0.1615384615384615,0.25,0.6674907292954264,0.9121621621621622,0.5263157894736842,234,87,168,1539,1460,6997,0.788935535052861,0.7658996712876948,0.6067583140482695,0.1087608975275118,0.04730598828069173,0.07803344290410176,0.7658996712876948,0.04400294628042173
1461,1952,0.3806681245087417,0.3130632640421803,0.6051237592555001,0.5327868852459017,0.2906976744186046,0.2167630057803468,0.4411764705882353,0.1210653753026634,0.075075075075075,0.3125,0.1333333333333333,0.1048387096774193,0.1830985915492957,0.7071566731141199,0.8917073170731707,0.5858974358974359,170,80,142,1560,1461,6511,0.753220324249533,0.7823682998003378,0.6292615492971134,0.09814160651205651,0.04576869912455844,0.07372139456304715,0.7823682998003378,-0.02139187021104666
1462,3093,0.3760467493839237,0.3101032904475839,0.5374601054603518,0.4626576139670223,0.3585434173669468,0.2715700141442715,0.5274725274725275,0.1095334685598377,0.0653753026634382,0.3375,0.1359223300970873,0.1277372262773722,0.1452282157676348,0.6364139457664637,0.8942457231726283,0.4939862542955326,364,160,241,2328,1462,10164,0.811065149374239,0.7566902794175522,0.5940732359241537,0.11078315623770169,0.05145611963793782,0.08107044470680834,0.7566902794175522,-0.022083933806596234
1463,7613,0.3897690479378766,0.3317782308624786,0.6339073802658063,0.5645606199921187,0.2934455802766085,0.2359767891682785,0.3879173290937996,0.1271676300578034,0.0794223826714801,0.3188405797101449,0.1646143875567077,0.1302564102564102,0.2235915492957746,0.7418853255587949,0.90471675752548,0.6287267336517872,629,345,568,6071,1463,24983,0.7219901069464396,0.7966217027578754,0.649222599334565,0.08389704999399591,0.04491053916663331,0.07457070808149542,0.7966217027578754,-0.014412368233978512
1465,2334,0.4045096079257192,0.3094630672567218,0.570213625228451,0.493573264781491,0.278735632183908,0.209051724137931,0.418103448275862,0.1679873217115689,0.1003787878787878,0.5145631067961165,0.1187214611872146,0.0977443609022556,0.1511627906976744,0.6724078539441957,0.9070631970260224,0.5342090859332239,232,103,172,1827,1465,7762,0.7695588133272266,0.775573305849008,0.6196155385671418,0.09456325689255346,0.04586446792063901,0.08399896933779953,0.775573305849008,0.003559462070810371
1466,2057,0.4325432319618366,0.3440812172342017,0.647893139194117,0.574623237724842,0.3277467411545623,0.2410958904109589,0.5116279069767442,0.1379310344827586,0.0869565217391304,0.3333333333333333,0.1690821256038647,0.1232394366197183,0.2692307692307692,0.741564967695621,0.9314697926059512,0.6159809183064997,172,78,130,1677,1466,6958,0.6650684329914487,0.817907444668008,0.6810998211169864,0.08019545846507617,0.03506754814601897,0.0668295487208968,0.817907444668008,0.024495212524185184
1470,3484,0.4133799880594262,0.3499931862049103,0.6735445034329357,0.6153846153846154,0.3436426116838488,0.267379679144385,0.4807692307692308,0.1403508771929824,0.0890538033395176,0.3310344827586207,0.1390593047034765,0.1209964412811387,0.1634615384615384,0.7769199512393336,0.9091773656680932,0.678254700248315,312,145,208,2819,1470,11643,0.7167859200068026,0.797818431675685,0.6513117429387014,0.09258782100833118,0.044318474619943315,0.06527527269604054,0.797818431675685,0.00884505933569979
1471,2903,0.4206844919709278,0.3390117887308082,0.6474908564267482,0.5759559076817086,0.314074074074074,0.2345132743362832,0.4753363228699551,0.1295681063122923,0.0794297352342158,0.3513513513513513,0.1691176470588235,0.1333333333333333,0.2311557788944723,0.7432873274780427,0.9170278637770898,0.6248945147679325,223,111,199,2370,1471,9664,0.6571354536412759,0.8221233443708609,0.6871581967005284,0.07584850993377483,0.03849337748344371,0.06353476821192053,0.8221233443708609,0.012097597237951674
1472,2435,0.3708810280178785,0.3209637858264689,0.641630009400282,0.5724845995893224,0.2840690978886756,0.2202380952380952,0.4,0.0970873786407767,0.0612745098039215,0.2336448598130841,0.1561822125813449,0.1237113402061855,0.2117647058823529,0.7465164541950786,0.8992857142857142,0.638114546376077,185,107,170,1973,1472,7910,0.6997325630240729,0.8049304677623261,0.6615808055542679,0.08356510745891277,0.040455120101137804,0.07104930467762326,0.8049304677623261,-0.03481230946688246
